Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Mexican Chicken Wrap,400,14,21,48,600,No,No,No,Yes,No,No,No,No,Yes,No
Veggie Wrap,375,12,11,53,890,No,Yes,No,No,No,No,No,No,Yes,No
Turkey Bacon Avocado Wrap,360,19,22,34,950,No,No,No,Yes,No,No,No,No,Yes,No
Chicken Caesar Wrap,480,23,36,39,1470,No,No,No,Yes,No,No,No,No,Yes,No
Egg Salad Wrap,420,18,16,48,1200,No,Yes,Yes,No,No,No,No,No,Yes,No
Turkey and Cheese Sandwich,260,3,17,33,720,No,No,No,Yes,No,No,No,No,Yes,No
Ham and Cheese Sandwich,270,4,16,37,800,No,No,No,Yes,No,No,No,No,Yes,No
Roast Beef Sandwich,190,8,11,20,540,No,No,No,Yes,No,No,No,No,Yes,No
Tuna and Cheese Sandwich,400,11,24,50,940,No,No,No,Yes,No,No,Yes,No,Yes,No
Ham Panini,420,23,20,33,1340,No,No,No,Yes,No,No,No,No,Yes,No
Turkey Panini,380,18,33,53,1120,No,No,No,Yes,No,No,No,No,Yes,No
Chicken Panini,382,13,37,37,1076,No,No,No,Yes,No,No,No,No,Yes,No
Veggie Panini,350,12,13,48,770,No,Yes,No,Yes,No,No,No,No,Yes,No
Greek Salad,150,10,7,11,550,No,Yes,No,Yes,No,No,No,No,No,No
Caesar Salad,250,25,3,7,520,No,Yes,No,Yes,No,No,No,No,No,No
Potato Salad,219,14,3,23,319,No,Yes,No,Yes,No,No,No,No,No,No
Pasta Salad,242,8,7,37,478,No,Yes,No,No,No,No,No,No,Yes,No
Quinoa Salad,230,6,8,38,320,Yes,Yes,No,No,No,No,No,No,No,No
Couscous Salad,240,4,8,44,410,Yes,Yes,No,No,No,No,No,No,No,No
Fiesta Salad,360,10,13,53,390,No,Yes,No,No,No,No,No,No,No,No
Tuna Salad,240,10.5,27,3,860,No,No,No,No,No,No,Yes,No,Yes,No
Veggies and Dip,100,5,2,12,340,Yes,Yes,No,No,No,No,No,No,No,No
Fruit Salad,110,0,1,27,20,Yes,Yes,No,No,No,No,No,No,No,No
Yogurt Parfait,230,3,6,47,115,No,Yes,No,Yes,No,No,No,No,No,No
Cinnamon Bun,250,9,4,38,290,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Plain Bagel,230,2,9,45,450,No,Yes,No,No,No,No,No,No,Yes,No
Sesame Bagel,280,2,10,57,450,No,Yes,No,No,No,No,No,No,Yes,No
Cheese Bagel,330,6,13,55,580,No,Yes,No,Yes,No,No,No,No,Yes,No
Everything Bagel,280,4,11,51,410,No,Yes,No,Yes,No,No,No,No,Yes,No
