Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Chicken Lovers Pizza 6" Personal Pan Pizza,580,21,27,73,720,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 9" Small Pan,180,7,9,22,240,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 12" Medium Pan,250,9,12,30,330,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 14" Large Pan,230,9,11,27,300,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 12" Medium Thin 'N Crispy®,210,7,12,27,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 14" Large Thin 'N Crispy®,200,6,11,25,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 12" Medium Stuffed Crust,260,10,17,25,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 14" Large Stuffed Crust,220,9,15,22,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 12" Medium Classic,210,7,12,25,360,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 14" Large Classic,180,6,11,21,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Lovers Pizza 12" Multigrain,230,6,13,30,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 6" Personal Pan Pizza®,620,25,28,72,1020,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 9" Small Pan,190,8,9,22,330,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 12" Medium Pan,270,11,13,29,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 14" Large Pan,250,11,12,27,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 12" Medium Thin 'N Crispy®,230,8,12,27,560,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 14" Large Thin 'N Crispy®,220,8,11,25,530,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 12" Medium Stuffed Crust,270,12,17,25,620,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 14" Large Stuffed Crust,240,10,15,21,550,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 12" Medium Classic,220,9,12,24,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 14" Large Classic,200,8,11,21,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Chicken Ceasar 12" Multigrain,240,8,13,29,500,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 6" Personal Pan Pizza®,209,18,20,81,840,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 9" Small Pan,70,6,8,25,290,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 12" Medium Pan,92,9,10,34,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 14" Large Pan,86,8,9,32,380,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 12" Medium Thin 'N Crispy®,75,6,10,31,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 14" Large Thin 'N Crispy®,70,5,9,30,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 12" Medium Stuffed Crust,108,9,13,29,570,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 14" Large Stuffed Crust,98,8,15,26,510,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 12" Medium Classic,90,6,10,29,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 14" Large Classic,82,5,9,26,400,No,No,Yes,Yes,No,No,No,No,Yes,Yes
BBQ Chicken 12" Multigrain,90,9,10,33,330,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 6" Personal Pan Pizza®,244,23,27,74,750,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 9" Small Pan,78,7,9,23,250,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 12" Medium Pan,104,10,12,30,340,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 14" Large Pan,96,9,11,28,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 12" Medium Thin 'N Crispy®,86,7,12,28,450,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 14" Large Thin 'N Crispy®,80,6,11,26,420,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 12" Medium Stuffed Crust,119,10,17,26,500,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 14" Large Stuffed Crust,110,9,15,22,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 12" Medium Classic,21,7,12,25,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Arrabiatta 14" Large Classic,93,6,11,22,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 6" Personal Pan Pizza®,230,23,27,73,750,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 9" Small Pan,74,7,9,22,250,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 12" Medium Pan,97,10,12,30,340,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 14" Large Pan,90,9,11,27,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 12" Medium Thin 'N Crispy®,78,7,12,27,450,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 14" Large Thin 'N Crispy®,74,6,11,25,420,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 12" Medium Stuffed Crust,113,10,17,25,500,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 14" Large Stuffed Crust,101,9,15,22,440,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 12" Medium Classic,95,7,12,25,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Rustica 14" Large Classic,86,6,11,21,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 6" Personal Multigrain pizza,212,12,23,64,640,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Veggie Lovers 6" Personal Pan Pizza®,238,21,23,74,610,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
