Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Apple Fritter,460,23,7,56,420,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Banana Nut Bread,420,23,6,56,320,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Birthday Cake Pop,170,9,18,23,110,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Blueberry Bar,250,13,4,43,220,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Blueberry Scone,420,17,5,61,510,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Blueberry Yogurt & Honey Muffin,380,16,1,53,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Butter Croissant,240,12,6,61,510,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Cheese Danish,320,16,6,36,390,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Chocolate Cake Pop,160,8,2,23,80,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Chunk Cookie,310,15,2,42,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Chunk Muffin,440,21,7,60,350,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Croissant,330,18,6,38,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Marble Loaf ,490,24,6,64,110,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Cinnamon Raisin Bagel,270,1,9,58,370,Yes,Yes,Yes,No,No,No,No,No,Yes,No
Cinnamon Swirl Coffee Cake,370,9,5,67,280,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Classic Coffee Cake,390,16,6,57,400,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Confetti Heart Cake pop,150,7,2,22,70,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Cranberry Orange Scone,420,15,6,64,430,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Double Chocolate Brownie,410,24,4,46,75,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Double Chocolate Loaf,380,20,5,48,290,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Everything with Cheese Bagel,290,3.5,10,53,500,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Ginger Molasses Cookie,350,10,5,59,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Heart Sugar Cookie,310,18,3,35,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Marshmallow Dream Bar,240,5,2,45,260,No,Yes,Yes,Yes,No,No,No,No,No,No
Lemon Loaf,430,20,6,57,310,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Mutligrain Bagel,350,4,17,64,520,Yes,Yes,No,No,No,No,No,No,Yes,No
Oat Bar,360,19,3,43,220,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Oat Fudge bar,360,20,4,26,230,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Oatmeal Raisin Cookie,290,12,5,40,190,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Old-fashioned Glazed Doughnut,480,27,5,56,410,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Petite Vanilla Bean Scone,120,4.5,2,18,95,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Toffeedoodle Cookie,300,13,3,44,200,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Bacon Gouda Cheese & Egg Frittata on Artisan Roll,370,19,17,32,850,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Double Smoked Bacon Sandwich,490,27,21,40,910,No,No,No,Yes,No,No,No,No,Yes,No
Reduced Fat Bacon Style Turkey Sandwich,230,6,3,28,560,No,No,No,Yes,No,No,No,No,Yes,No
Sausage Egg & Cheese on English Muffin,500,28,15,41,920,No,No,Yes,Yes,No,No,No,No,Yes,No
Spicy Chorizo & Monterey Jack & Egg Breakfast Sandwich,500,30,26,35,860,No,No,Yes,Yes,No,No,No,No,Yes,No
Spinach & Feta Wrap with Egg Whites,290,10,19,33,830,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Whole Grain Oatmeal,160,2.5,5,28,125,Yes,Yes,No,No,No,No,No,No,No,No
Ancho Chipotle Chicken Pannini,500,19,26,57,1030,No,No,No,Yes,No,No,No,No,Yes,No
Cheese and Fruit,470,28,14,38,560,No,Yes,No,Yes,No,No,No,No,No,No
Chicken & Black Bean Salad,370,13,14,45,690,No,No,No,No,No,No,No,No,No,No
Chicken and Artichoke on Ancient Grain Flatbread,510,27,24,37,1120,No,No,No,Yes,No,No,No,No,Yes,No
Chicken Santa Fe on Ancient Grain Flatbread,360,14,21,33,770,No,No,No,Yes,No,No,No,No,Yes,No
Hearty Veggie and Brown Rice Salad,430,22,10,50,640,Yes,Yes,No,No,No,No,No,No,No,Yes
Homestyle Chicken and Double Smoked Bacon Panini,480,17,23,57,1170,No,No,No,Yes,No,No,No,No,Yes,No
Italian Style Ham and Spicy Salami Panini,480,20,22,49,1100,No,No,No,Yes,No,No,No,No,Yes,No
