Name,ID
egg,1
red bell pepper,1
zucchini,1
tortilla,1
cheddar,1
swiss,1
cornmeal,2
wheat germ,2
baking powder,2
baking soda,2
yogurt,2
milk,2
egg,2
canola oil,2
broccoli florets,2
cheddar,2
apple,3
blueberries,3
brown sugar,3
flour,3
vanilla,3
oats,3
wheat bran,3
margarine,3
cinnamon,3
milk,4
oats,4
wheat germ,4
brown sugar,4
cinnamon,4
pumpkin pie spice,4
apple,4
dried cranberries,4
butternut squash,5
canola oil,5
onion,5
garlic,5
curry powder,5
chicken broth,5
vegetable broth,5
yogurt,5
chicken thighs,6
parsley,6
onion,6
carrot,6
garlic,6
egg noodles,6
peas,6
parmesan,6
basil,6
parsley,6
hot pepper sauce,6
chickpeas,7
tahini,7
ground cumin,7
vegetable broth,7
grated lemon rind,7
lemon juice,7
garlic,7
whole wheat macaroni,8
whole wheat fusili,8
margarine,8
onion,8
garlic,8
carrot,8
red bell pepper,8
zucchini,8
flour,8
skim milk,8
cheddar cheese,8
dijon mustard,8
ground pepper,8
canola oil,9
garlic,9
thyme,9
ground pepper,9
boneless pork loin chops,9
apples,9
chicken broth,9
vegetable broth,9
dijon mustard,9
cornstarch,9
virgin olive oil,10
leek,10
garlic,10
red bell pepper,10
orange bell pepper,10
yellow bell pepper,10
italian herb seasoning,10
quinoa,10
broccoli florets,10
vegetable broth,10
corn kernels,10
cheddar cheese,10
parsley,10
plain greek yogurt,11
light mayonnaise,11
dijon mustard,11
yellow mustard,11
ground black pepper,11
turkey breast meat,11
red bell pepper,11
green bell pepper,11
carrots,11
whole grain pita pockets,11
boston lettuce,11
cucumber,11
boneless skinless turkey breast,12
dijon mustard,12
yellow mustard,12
canola oil,12
bran flakes,12
parmesan cheese,12
italian herb seasoning,12
dried oregano leaves,12
sweet potato,12
parsnips,12
chili powder,12
canola oil,13
onion,13
garlic,13
thyme,13
chili powder,13
ground pepper,13
tomato passata,13
pitted Medjool dates,13
cided vinegar,13
worcestershire sauce,13
hot pepper sauce,13
skinless chicken drumsticks,13
green beans ,14
yellow beans,14
shelled soy beans,14
chickpeas,14
celery,14
green onions,14
red bell pepper,14
apple cider vinegar,14
dijon mustard,14
canola oil,14
resh ground pepper,14
basil,14
parsley,14
eggs,15
plain greek yogurt,15
ground pepper,15
celery,15
red bell pepper,15
green onion,15
dill,15
parsley,15
leaf lettuce,15
whole grain bread,15
rye bread,15
asparagus,16
red bell pepper,16
zucchini,16
basil,16
parsley,16
chives,16
garlic,16
baby bok choy,16
dijon mustard,16
canola oil,16
thyme leaves,16
ground pepper,16
salmon fillets fish,16
flank steak meat,17
balsamic vinegar,17
worcestershire sauce,17
garlic,17
rosemary,17
virgin olive oil,17
dijon mustard,17
portabella mushrooms,17
red onion,17
zucchini,17
red pepper,17
baby spinach,17
strawberries,18
peaches,18
nectarines,18
plums,18
bananas,18
greek yogurt,18
maple syrup,18
ground cinnamon,18
chicken breast meat,19
onions,19
red bell pepper,19
cilantro,19
basil,19
lemon rind,19
lemon juice,19
Greek yogurt,19
mayonnaise,19
feta cheese,19
ground pepper,19
rye bread,19
