Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Muffin,378,13.7,5.8,59.4,456.54,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Croissant,231.4,11.8,4.7,26.1,266.2,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Danish,263.4,13.4,3.8,33.9,251.1,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Scones,148.5,6.3,3.9,19,281.8,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
Turnovers,285.6,14.8,3,35.8,266.4,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Pecan Maple Strudel,130.8,3.3,2,24.1,79.5,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Cinnamon Buns,233,9.8,3.8,30.5,182.4,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Banana Loaf,185.8,6,2.5,31.1,172.1,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Carrot Raisin Loaf,325,16,4.5,42.5,307,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Corn Bread,330,10,7,54,559,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
Cookie,68,6.5,0.7,9.3,45.6,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Toasted Bagel,262.5,1.6,10.7,51.6,461,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
Fresh Fruit Cup,45,0,0,12,0,Yes,Yes,No,No,No,No,No,No,No,No
Veggie Cup w/ Dip,118,0.3,5.2,23.8,64,Yes,Yes,No,No,No,No,No,No,No,No
Yogurt Parfait w/ Fruit,127.8,1.6,3.5,25,54,Yes,Yes,No,No,No,No,No,No,No,No
Salads,83,6.3,1.9,5.9,196.4,Yes,Yes,No,No,No,No,No,No,No,No
Egg Salad,227.5,21.7,6.8,0.7,282.6,Yes,Yes,Yes,No,No,No,No,No,No,No
Veggie Sandwich,348,7,31,62,651,No,Yes,No,Yes,No,No,No,No,Yes,No
Ham & Chesse Sandwich,352,15.5,20.1,33.3,770.1,No,No,No,Yes,No,No,No,No,Yes,No
Chicken Chipotle Wraps,380,11,27.2,44,820.5,No,No,No,No,No,No,No,No,Yes,No
Turkey Sandwich,320,9.9,28.4,26.5,502.4,No,No,No,No,No,No,No,No,Yes,No
Beef Philly Wrap,466.6,17.9,29.9,49.9,498.1,No,No,No,No,No,No,No,No,Yes,No
Tuna Sandwich,287,7.17,19,36.4,783,No,Yes,No,No,No,No,Yes,No,Yes,No
