Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Greek Salad,106,7.28,7,3.4,410,Yes,Yes,No,Yes,No,No,No,No,No,No
Garden Salad,78,5.6,4.6,2.9,119,No,Yes,No,Yes,No,No,No,No,No,No
Chicken Salad,229,17.3,16.2,1.4,158,No,No,No,Yes,No,No,No,No,No,No
Beef Salad,272,21.2,18.4,1.4,158,No,No,No,Yes,No,No,No,No,No,No
Lamb Salad,450,10,19,6,180,No,No,No,Yes,No,No,No,No,No,No
Tabouli Salad,146.7,12,2,9,320,Yes,Yes,No,Yes,No,No,No,No,No,No
Baklava,115,5.5,1.5,15,35,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
Beef/Chicken Regular,574,10.5,38.2,79.3,1075,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Super,635,13.6,46.4,86.4,1769,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Mushroom,603,10.4,40.2,80.9,1289,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Hawaiian,593,12.5,42.5,81.5,1487,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Caribbean,576,11.9,41.3,82.7,1374,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Lebanese,598,10.6,40.8,83.74,1128,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Greek,624,12.7,43.7,84.9,1562,No,No,No,No,No,No,No,No,No,No
Beef/Chicken Platter,648,14.6,47.2,86.7,1687,No,No,No,No,No,No,No,No,No,No
Lamb Regular,581,14.6,34.9,76.3,1039,No,No,No,No,No,No,No,No,No,No
Lamb Super,621,16.3,42.8,83.4,1635,No,No,No,No,No,No,No,No,No,No
Lamb Mushroom,606,15.8,37.4,80.9,1556,No,No,No,No,No,No,No,No,No,No
Lamb Hawaiian,610,14.4,34.9,82,1103,No,No,No,No,No,No,No,No,No,No
Lamb Caribbean,586,15.4,36.4,79.4,1207,No,No,No,No,No,No,No,No,No,No
Lamb Lebanese,619,15,41.1,78.3,1294,No,No,No,No,No,No,No,No,No,No
Lamb Greek,582,14.5,39.1,76.7,1435,No,No,No,No,No,No,No,No,No,No
Lamb Platter,617.2,15.8,43.6,82.1,1624,No,No,No,No,No,No,No,No,No,No
Falafel Regular,614.5,16.7,23.8,97.4,1471,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Super,681.9,17.8,31.4,103.6,1769,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Mushroom,667.6,16.7,27.5,102.6,1693,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Hawaiian,650.2,16.1,24.9,97.4,1520,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Caribbean,655.9,17.5,29.9,101.2,1550,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Lebanese,618.4,17.9,23.3,98.3,1732,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Greek,634.3,16.9,29.3,99.5,1621,Yes,Yes,No,No,No,No,No,No,No,No
Falafel Platter,679.1,16.4,30.8,101.2,1696,Yes,Yes,No,No,No,No,No,No,No,No
