Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
El Jefe,560,21.6,34.2,67.3,1391.6,No,No,No,No,No,No,No,No,Yes,No
Free-Runner,514,17.2,30.8,69,1791.3,No,No,No,No,No,No,No,No,Yes,No
Pudgy Pig,539,19.5,34.8,71.4,1540.3,No,No,No,No,No,No,No,No,Yes,No
Tree-Hugger,567,17.5,15.9,83.4,1419.2,Yes,Yes,No,No,No,No,No,No,Yes,No
El Vaquero,345,27.9,46.5,26.1,1215.3,No,No,No,Yes,No,No,No,No,Yes,No
Pollo Loco,474,20.4,40.8,29.1,1896.6,No,No,No,No,No,No,No,No,Yes,No
Carnitas,516,24.6,47.4,33.3,1469.4,No,No,No,No,No,No,No,No,Yes,No
Upside Down Yogi,249,10.2,4.8,30.6,700.8,,,No,No,No,No,No,No,Yes,No
Ranch Hand Plate,695,18,21,112,1936.2,Yes,Yes,No,No,No,No,No,No,Yes,No
NSF Burrito,420,17,11,55,920,No,Yes,No,Yes,No,No,No,No,Yes,No
Chips and Salsa,375,19,5,47,215,Yes,Yes,No,No,No,No,No,No,No,No
Chips and Guacamole,320,20,4,32,450,Yes,Yes,No,No,No,No,No,No,No,No
