Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Classic Beef Burger,482,24.1,27,39.2,897,No,No,No,Yes,No,No,No,No,Yes,No
Veggie Burger,125,4.2,12.5,9.4,385,Yes,Yes,No,No,No,No,No,No,Yes,No
Baja Veggie,265,9.4,22.7,20,507,Yes,Yes,No,No,No,No,No,No,Yes,No
Blazing Pinapple,794,51.3,15.1,72.2,983,No,No,No,Yes,No,No,No,No,Yes,No
Craft Burger,856,65.3,28.6,41.2,1093,No,No,No,Yes,No,No,No,No,Yes,No
Big Smoke Burger,985,72.3,33,41.3,1120,No,No,No,Yes,No,No,No,No,Yes,No
Swiss Melt,1019,73.4,35.4,54.1,1517,No,No,No,Yes,No,No,No,No,Yes,No
Spicy Burger,879,77.3,30,45.2,1264,No,No,No,Yes,No,No,No,No,Yes,No
Blue Burger,1020,79.1,34,43.2,1257,No,No,No,Yes,No,No,No,No,Yes,No
Southern Fried,573,33.6,26,41.4,984,No,No,No,Yes,No,No,No,No,Yes,No
Jerk Chicken,617,35.2,28,51.1,1134,No,No,No,Yes,No,No,No,No,Yes,No
Chicken Burger,314,13.1,24,24.1,684,No,No,No,Yes,No,No,No,No,Yes,No
Double Big,671,37.6,42.4,40.2,1057,No,No,No,Yes,No,No,No,No,Yes,No
Lamb,462,24.8,30.2,30.9,868,No,No,No,Yes,No,No,No,No,Yes,No
The Beast,1185,84.3,35,46.3,1270,No,No,No,Yes,No,No,No,No,Yes,No
The Hogtown,845,43.1,72,32,1320,No,No,No,Yes,No,No,No,No,Yes,No
French Fries,328,14.6,3.8,45.3,326.4,Yes,Yes,No,No,No,No,No,No,Yes,No
Onion Rings,282,16.7,5.9,27.2,33.4,Yes,Yes,No,No,No,No,No,No,Yes,No
Poutine,510,30,17,44,1010,Yes,Yes,No,Yes,No,No,No,No,Yes,No
Iceberg Caesar,192,16,5.7,7.3,292.6,Yes,Yes,No,No,No,No,No,No,No,No
Premium Poutine,672,43,28.1,44.6,1125.5,No,No,No,Yes,No,No,No,No,Yes,No
Ice Cream Sandwich,135,4.9,2.4,21.2,73.5,No,Yes,No,Yes,No,No,No,No,No,No
Milkshake,350,9,12,56,297.4,No,Yes,No,Yes,No,No,No,No,No,No
