Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Yam wedges,434,17,4,67,644,Yes,Yes,No,No,No,No,No,No,No,No
Potato Skins,290,19,6,24,610,No,No,No,Yes,No,No,No,No,Yes,No
Wings,420,30,36,6,1740,No,No,No,No,No,No,No,No,Yes,No
Quesadilla,560,30,25,49,910,No,Yes,No,Yes,No,No,No,No,Yes,No
Spring Rolls,350,12.5,10,55,1100,No,No,No,No,No,No,No,No,Yes,Yes
Poutine,700,40,20,64,690,No,No,No,Yes,No,No,No,No,No,No
Nachos,1250,88,60,57,2640,No,Yes,No,Yes,No,No,No,No,No,Yes
guacamole,50,3,4,6,110,Yes,Yes,No,No,No,No,No,No,No,No
beef,390,30,52,0,1350,No,No,No,No,No,No,No,No,No,No
chicken,220,5,42,0,330,No,No,No,No,No,No,No,No,No,No
grilled veggies,20,1,1,4,170,Yes,Yes,No,No,No,No,No,No,No,No
chicken fingers,540,24,24,52,1140,No,No,No,No,No,No,No,No,Yes,No
Chili,320,18,27,14,1010,No,No,No,No,No,No,No,No,No,No
House Salad,80,0,4,16,60,Yes,Yes,No,No,No,No,No,No,No,No
Caesar Salad,260,25,3,7,520,No,Yes,No,Yes,No,No,No,No,Yes,No
Grilled Veggies ,50,2,1,8,170,Yes,Yes,No,No,No,No,No,No,No,No
Highland Burger,420,2,23,31,730,No,No,No,No,No,No,No,No,Yes,No
Chicken Burger,380,11,27,38,630,No,No,No,No,No,No,No,No,Yes,No
Veggie Burger,340,6,23,48,980,No,Yes,No,No,No,No,No,No,Yes,Yes
Grilled Cheese,340,19,13,30,490,No,Yes,No,Yes,No,No,No,No,Yes,No
add Capicola,31,1,5,1,314,No,No,No,No,No,No,No,No,No,No
add Turkey,30,1,6,1,115,No,No,No,No,No,No,No,No,No,No
add Pastrami,30,1,5,1,310,No,No,No,No,No,No,No,No,No,No
add ham,35,2,5,1,325,No,No,No,No,No,No,No,No,No,No
Beef dip,544,11,39,68,3005,No,No,No,No,No,No,No,No,Yes,No
Rueben,640,30,32,62,1610,No,No,No,Yes,No,No,No,No,Yes,No
Club Wrap,650,29,38,59,2330,No,No,No,Yes,No,No,No,No,Yes,No
Grilled Veggie Wrap,530,29,16,53,940,No,Yes,No,No,No,No,No,No,Yes,No
Cajun Caesar Wrap,410,15,22,56,1310,No,No,No,Yes,No,No,No,No,Yes,No
Thai Prawn Curry Bowl,720,40,56,28,2400,No,No,No,No,No,No,No,Yes,No,No
Ginger beef Bowl,828,32,91.6,41.2,1972,No,No,No,No,No,No,No,No,Yes,Yes
Sesame Chicken Bowl,1070,49,42,121,2640,No,No,No,No,No,No,No,No,No,Yes
Chocolate Caramel Cake,350,17,3,49,290,No,Yes,No,Yes,No,No,No,No,Yes,No
New York Cheesecake,450,30,7,39,460,No,Yes,No,Yes,No,No,No,No,Yes,No
Side Fries,350,20,4,39,510,Yes,Yes,No,No,No,No,No,No,No,No
Side house salad,40,0,2,8,30,Yes,Yes,No,No,No,No,No,No,No,No
