Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Spicy Tofu,81,3.56,3.56,1.9,292.5,Yes,Yes,No,No,No,No,No,No,No,Yes
Chao Mein,296,4,5,64,54,No,No,No,No,No,No,No,No,Yes,No
Pork w/ chili,418,18,36,26,1457,No,No,No,No,No,No,No,No,No,No
Fried Chicken Wings,430,16,23,47,840,No,No,No,No,No,No,No,No,No,No
Sweet Sour Pork,619,31,15,83,296,No,No,No,No,No,No,No,No,No,No
Pan Fried Veggies,113,9,7,13,67,Yes,Yes,No,No,No,No,No,No,No,No
BBQ Pork,440,23,41,15,1571,No,No,No,No,No,No,No,No,No,No
Beef and Brocoli,338,18,20,50,405,No,No,No,No,No,No,No,No,No,No
Spicy Chicken,320,3.5,12,53,1472,No,No,No,No,No,No,No,No,No,No
Beef Brisket w/ White Radish,466,25,39,16,916,No,No,No,No,No,No,No,No,No,No
Eggplants w/ chili sause,350,18,12,40,300,Yes,Yes,No,No,No,No,No,No,No,No
Green Beans and Minced Pork,371,15.6,25,27,263,No ,No,No,No,No,No,No,No,No,No
Pork and Bell Peppers,310,22,17,12,630,No,No,No,No,No,No,No,No,No,No
Fried Spare Ribs,950,74,56,13,1251,No,No,No,No,No,No,No,No,No,No
Fried Rice,287,10,27,19,273,No,Yes,Yes,No,No,No,No,No,No,No
Deep Fried Chicken Nuggets w/ Rice,400,1.4,22.6,71.5,1914,No,No,No,No,No,No,No,No,No,No
Ground Pork Sause w/ Rice,156.9,9,9,8.7,645.9,No,No,No,No,No,No,No,No,No,No
Beef and Beef Tripein w/ Rice,516,12.4,56.1,43.7,2172,No,No,No,No,No,No,No,No,No,No
Marinated Garlic Pork w/ Rice,283,5.5,24.1,32.6,252,No,No,No,No,No,No,No,No,No,No
Sizzling Beef/Chicken w/ Rice,334.9,16.3,39.1,4.7,737.3,No,No,No,No,No,No,No,No,No,No
Deep Fried Pork Chop/Chicken,386,19,46,9,1343,No,No,No,No,No,No,No,No,No,No
Chicken Fillet w/ Spicy Sauce,556,3.6,61.4,63.4,1249.1,No,No,No,No,No,No,No,No,No,No
House Special Seafood,390,7,37,51,757,No,No,No,No,No,No,Yes,Yes,No,No
Fillet Hot Pot w/ Rice,320,9.3,24.3,30.2,984.3,No,Yes,No,No,No,No,No,No,No,No
Beef Hot Pot w/ Rice,352,11.1,27.2,35.5,1095.1,No,No,No,No,No,No,No,No,No,No
Tofu Hot Pot w/ Rice,214,5,12,31,854,Yes,Yes,No,No,No,No,No,No,No,Yes
Seafood Tofu Hot Pot w/ Rice,362.1,11.9,39.9,21.8,1364.1,No,No,No,No,No,No,Yes,Yes,No,No
Egg Rolls,384.9,20,25.7,24.3,362.3,N,No,No,No,Yes,No,No,No,No,No
BBQ Chicken Leg,240.4,4.9,27.7,41.4,944.5,No,No,No,No,No,No,No,No,No,No
