Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Salad Roll with Veggies,164,0,17.2,19.9,424.4,Yes,Yes,No,No,No,No,No,No,No,No
Salad Roll with Shrimp,164,0,17.2,19.9,424.4,No,No,No,No,No,No,No,Yes,No,No
Salad Roll with Chicken,1640,0,17.2,19.9,424.4,No,No,No,No,No,No,No,No,No,No
Santa Fe Chicken & avocado Wrap,334,4.6,19,33.7,804.1,No,No,No,Yes,No,No,No,No,Yes,No
Fiesta Veggie Wrap,356,4.6,10,49.4,617,No,Yes,No,Yes,No,No,No,No,Yes,No
Spicy Sriracha Chicken Wrap,313,3.7,18,35.7,1010.4,No,No,No,Yes,No,No,No,No,Yes,No
Snackin Sweet Chili Chicken Wrap,268,4.3,15,27.5,627.7,No,No,No,No,No,No,No,No,Yes,No
Snackin Chicken Caesar Wrap,315,5,15,22.4,659.6,No,No,No,Yes,No,No,No,No,Yes,No
Breakfast Wrap with Bacon,378,7.2,18,32.1,943.6,No,No,No,Yes,No,No,No,No,Yes,No
Italiano Breakfast Wrap,324,5.8,16,33.2,706.9,No,No,Yes,Yes,No,No,No,No,Yes,No
Sweet Chili Chicken Wrap,342,4.3,19,39.5,886.1,No,No,No,Yes,No,No,No,No,Yes,No
Chipotle Turkey Bacon Club,643,8.9,33,68.4,1808.5,No,No,No,Yes,No,No,No,No,Yes,No
Kale Chicken Caesar Sandwich,656,7.9,28,64.3,1383.1,No,No,No,Yes,No,No,No,No,Yes,No
Pesto Turkey Grilled Cheese Sandwich,618,8,31,66.8,1836.3,No,No,No,Yes,No,No,No,No,Yes,No
Granola Bar,210,2,4,28,0,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Cup of Veggies with Dip,258,3.1,14,14.7,576.7,No,Yes,No,No,No,No,No,No,No,No
Cup of Veggies without Dip,48,0.1,1.4,10.7,126.7,Yes,Yes,No,No,No,No,No,No,No,No
Cup of Fruit,51,0,1,12.8,1.7,Yes,Yes,No,No,No,No,No,No,No,No
Yogurt Parfait,379,13.4,11,55.3,214.4,No,Yes,No,Yes,No,No,No,No,No,No
