Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
apple fritter,460,23,7,56,420,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
banana nut bread,420,23,6,56,320,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
birthday cake pop,170,9,18,23,110,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
blueberry bar,250,13,4,43,220,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
blueberry scone,420,17,5,61,510,No,Yes,Yes,Yes,No,No,No,No,Yes,No
blueberry yogurt & honey muffin,380,16,1,53,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
butter croissant,240,12,6,61,510,No,Yes,Yes,Yes,No,No,No,No,Yes,No
cheese danish,320,16,6,36,390,No,Yes,Yes,Yes,No,No,No,No,Yes,No
chocolate cake pop,160,8,2,23,80,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate chunk cookie,310,15,2,42,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate chunk muffin,440,21,7,60,350,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate croissant,330,18,6,38,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate marble loaf ,490,24,6,64,110,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
cinnamon raisin bagel,270,1,9,58,370,Yes,Yes,Yes,No,No,No,No,No,Yes,No
cinnamon swirl coffee cake,370,9,5,67,280,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
classic coffee cake,390,16,6,57,400,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
confetti hearts cake pop,150,7,2,22,70,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
cranberry orange scone,420,15,6,64,430,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
double chocolate brownie,410,24,4,46,75,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
double chocolate loaf,380,20,5,48,290,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
everything with cheese bagel,290,3.5,10,53,500,No,Yes,Yes,Yes,No,No,No,No,Yes,No
ginger molasses cookie,350,10,5,59,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
heart sugar cookie,310,18,3,35,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
marshmallow dream bar,240,5,2,45,260,No,Yes,Yes,Yes,No,No,No,No,No,No
lemon loaf,430,20,6,57,310,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
mutligrain bagel,350,4,17,64,520,Yes,Yes,No,No,No,No,No,No,Yes,No
oat bar,360,19,3,43,220,No,Yes,No,Yes,No,No,No,No,Yes,Yes
oat fudge bar,360,20,4,26,230,No,Yes,No,Yes,No,No,No,No,Yes,Yes
oatmeal raisin cookie,290,12,5,40,190,No,Yes,Yes,Yes,No,No,No,No,Yes,No
old-fashioned glazed doughnut,480,27,5,56,410,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
petite vanilla bean scone,120,4.5,2,18,95,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
toffedoodle cookie,300,13,3,44,200,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
bacon gouda cheese & egg frittata on artisan roll,370,19,17,32,850,No,No,Yes,Yes,No,No,No,No,Yes,Yes
double smoked bacon sandwich,490,27,21,40,910,No,No,No,Yes,No,No,No,No,Yes,No
reduced fat bacon style turkey sandwich,230,6,3,28,560,No,No,No,Yes,No,No,No,No,Yes,No
sausage egg & cheese on english muffin,500,28,15,41,920,No,No,Yes,Yes,No,No,No,No,Yes,No
spicy chorizo & monterey jack & egg breakfast sandwich,500,30,26,35,860,No,No,Yes,Yes,No,No,No,No,Yes,No
spinach & feta wrap with Egg whites,290,10,19,33,830,No,Yes,Yes,Yes,No,No,No,No,Yes,No
whole grain oatmeal,160,2.5,5,28,125,Yes,Yes,No,No,No,No,No,No,No,No
ancho chipotle chicken pannini,500,19,26,57,1030,No,No,No,Yes,No,No,No,No,Yes,No
cheese and fruit,470,28,14,38,560,No,Yes,No,Yes,No,No,No,No,No,No
chicken & black bean salad,370,13,14,45,690,No,No,No,No,No,No,No,No,No,No
chicken and artichoke on ancient grain flatbread,510,27,24,37,1120,No,No,No,Yes,No,No,No,No,Yes,No
chicken santa fe on ancient grain flatbread,360,14,21,33,770,No,No,No,Yes,No,No,No,No,Yes,No
hearty veggie and brown rice salad,430,22,10,50,640,Yes,Yes,No,No,No,No,No,No,No,Yes
homestyle chicken and double smoked bacon pannin,480,17,23,57,1170,No,No,No,Yes,No,No,No,No,Yes,No
italian style ham and spicy salami pannini,480,20,22,49,1100,No,No,No,Yes,No,No,No,No,Yes,No
protein bistro box,370,19,13,37,460,No,Yes,No,Yes,Yes,No,No,No,No,No
roasted tomato and mozzarella panini,420,18,11,47,620,No,Yes,No,Yes,No,No,No,No,Yes,No
thai-style peanut chicken wrap bistro box,450,20,11,51,510,No,No,No,No,Yes,No,No,No,Yes,No
turkey pesto panini,560,23,34,55,1230,No,No,No,Yes,No,No,No,No,Yes,No
deluxe fruit blend,90,0,2,24,0,Yes,Yes,No,No,No,No,No,No,No,No
greek & honey yogurt parfait,240,3,14,39,115,No,Yes,No,Yes,No,No,No,No,No,No
peach and raspberry yogurt  parfait,300,5,14,47,105,No,Yes,No,Yes,No,No,No,No,No,No
strawberry & blueberry yogurt parfait,310,5,15,51,105,No,Yes,No,Yes,No,No,No,No,No,No
