Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Regular Roasted Veggies Burrito ,490,2,17,69,864,Yes,Yes,No,No,No,No,No,No,Yes,No
Large Roasted Veggies Burrito ,710,2.9,24.65,100.05,1252.8,Yes,Yes,No,No,No,No,No,No,Yes,No
Big Ass Roasted Veggies Burrito ,1030,4.4,37.4,151.8,1900.8,Yes,Yes,No,No,No,No,No,No,Yes,No
Regular Beans Burrito ,560,8,24,80,984,Yes,Yes,No,No,No,No,No,No,Yes,No
Large Beans Burrito ,780,11.2,33.6,112,1377.6,Yes,Yes,No,No,No,No,No,No,Yes,No
Big Ass Beans Burrito ,1130,16.6,48.48,161.6,1987,Yes,Yes,No,No,No,No,No,No,Yes,No
Regular Spicy Chicken Burrito ,550,19,31,66,941,No,No,No,No,No,No,No,No,Yes,No
Large Spicy Chicken Burrito ,790,27.36,44.64,95.04,1355,No,No,No,No,No,No,No,No,Yes,No
Big Ass Spicy Chicken Burrito ,1200,42,68.2,355.52,2070,No,No,No,No,No,No,No,No,Yes,No
Regular Ancho Pork Burrito ,550,18,32,66,1003,No,No,No,No,No,No,No,No,Yes,No
Large Ancho Pork Burrito ,790,26,46,95,2980,No,No,No,No,No,No,No,No,Yes,No
Big Ass Ancho Pork Burrito ,1200,39.6,70.4,145.2,2206.6,No,No,No,No,No,No,No,No,Yes,No
Regular Flame Grilled Chicken Burrito ,550,17,32,67,1129,No,No,No,No,No,No,No,No,Yes,No
Large Flame Grilled Chicken Burrito ,790,24.48,46.08,96.48,1625.76,No,No,No,No,No,No,No,No,Yes,No
Big Ass Flame Grilled Chicken Burrito ,1190,37.4,70.4,147.2,2483.8,No,No,No,No,No,No,No,No,Yes,No
Regular Steak Burrito ,610,23,35,66,1176,No,No,No,No,No,No,No,No,Yes,No
Large Steak Burrito ,880,33.12,50.4,95,3575.5,No,No,No,No,No,No,No,No,Yes,No
Big Ass Steak Burrito ,1380,52,79,149.16,2657.76,No,No,No,No,No,No,No,No,Yes,No
Regular Chile Lime Fish Buritto,620,23,35,71,1164,No,No,No,No,No,No,Yes,No,Yes,No
Large Chile Lime Fish Buritto,910,33.81,51.45,104.37,1711.08,No,No,No,No,No,No,Yes,No,Yes,No
Big Ass Chile Lime Fish Buritto,1350,50.6,77,156.2,2560.8,No,No,No,No,No,No,Yes,No,Yes,No
Roasted Veggies 1 Taco,150,7,5,17,116,Yes,Yes,No,No,No,No,No,No,No,No
Beans 1 Taco,180,6,8,24,420,Yes,Yes,No,No,No,No,No,No,No,No
Spicy Chicken 1 Taco,180,8,15,20,416,No,No,No,No,No,No,No,No,No,No
Ancho Pork 1 Taco,180,8,11,5,185,No,No,No,No,No,No,No,No,No,No
Flame Grilled Chicken 1 Taco,170,6,13,19,468,No,No,No,No,No,No,No,No,No,No
Steak 1 Taco,200,9,13,19,469,No,No,No,No,No,No,No,No,No,No
Chile Lime Fish 1 Taco,210,10,13,18,266,No,No,No,No,No,No,Yes,No,No,No
Roasted Veggies 3 Tacos,450,21,16,15,348,No,Yes,No,No,No,No,No,No,No,No
Beans 3 Tacos,540,18,24,72,1260,No,Yes,No,No,No,No,No,No,No,No
Spicy Chicken 3 Tacos,540,24,45,60,1248,No,No,No,No,No,No,No,No,No,No
Ancho Pork 3 Tacos,540,23,35,45,555,No,No,No,No,No,No,No,No,No,No
Flame Grilled Chicken 3 Tacos,510,17,38,56,1404,No,No,No,No,No,No,No,No,No,No
Steak 3 Tacos,600,28,38,57,1407,No,No,No,No,No,No,No,No,No,No
Chile Lime Fish 3 Taco,630,30,38,53,798,No,No,No,No,No,No,Yes,No,No,No
Roasted Veggies Quesadilla,650,22,22,61,1243,No,Yes,No,Yes,No,No,No,No,No,No
Beans Quesadilla,750,33,31,88,1242,No,Yes,No,Yes,No,No,No,No,No,No
Spicy Chicken Quesadilla,740,37,42,67,1178,No,No,No,Yes,No,No,No,No,No,No
Ancho Pork Quesadilla,740,56,8,33,2352,No,No,No,Yes,No,No,No,No,No,No
Flame Grilled Chicken Quesadilla,730,34,43,68,1460,No,No,No,Yes,No,No,No,No,No,No
Steak Quesadilla,820,42,47,67,1531,No,No,No,Yes,No,No,No,No,No,No
