Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Chicken Katsu Don,679,16,41,1022,1625,No,No,Yes,No,No,No,No,No,Yes,Yes
Teriyaki Chicken,489,8,34,68,716,No,No,Yes,No,No,No,No,No,Yes,Yes
Teriyaki Beef,450,8,8,1,222,No,No,Yes,No,No,No,No,No,Yes,Yes
Takoyaki,395,23.2,12,21,425,No,No,Yes,No,No,No,No,No,Yes,Yes
Pork Bun,150,2.9,4.3,26.7,402,No,No,Yes,No,No,No,No,No,Yes,Yes
Chinese Hamburger,476,2.71,27.33,68.29,545,No,No,Yes,No,No,No,No,No,Yes,Yes
Spicy Stirred Noodle,474,29.4,3.9,51.5,37.3,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Udon soup with Beef,749,16,28,117,3050,No,No,Yes,No,No,No,No,No,Yes,Yes
Udon Soup with Chicken,699,12,30,117,3110,No,No,Yes,No,No,No,No,No,Yes,Yes
Rice Noodle Tofu with Chicken,664,16,10,112,478,No,No,Yes,No,No,No,No,No,Yes,Yes
Rice Noodle with Fish and Pickled Veg,708,18,43,118,3200,No,No,Yes,No,No,No,No,No,Yes,Yes
Fish Tofu Hot Pot,510,5,29,73,2910,No,No,Yes,No,No,No,No,No,Yes,Yes
Spicy Fish Hot Pot,500,25,36.96,35,1500,No,No,Yes,No,No,No,No,No,Yes,Yes
Spicy Beef Hot Pot,537,5,44,44,1500,No,No,Yes,No,No,No,No,No,Yes,Yes
Fish with Pickled Veg Hot Pot,500,25,36,35,1500,No,No,Yes,No,No,No,No,No,Yes,Yes
Korean Tofu Hot Pot,362,12,40,22,1366,No,No,Yes,No,No,No,No,No,Yes,Yes
Pork Intestine with Spicy Soup,730,58,29,0,330,No,No,Yes,No,No,No,No,No,Yes,Yes
Pork Intestine with Pickled Veg,730,58,29,0,330,No,No,Yes,No,No,No,No,No,Yes,Yes
