Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Chicken Teryika Bento,933,24.89,41.4,121,2383,No,No,Yes,No,No,No,No,No,Yes,Yes
Beef Teryika Bento,957,17.69,36.4,115.5,2288,No,No,Yes,No,No,No,No,No,Yes,Yes
Tonkatsu Bento,1033,31.89,37.4,139,3073,No,No,Yes,No,No,No,No,No,Yes,Yes
Gyoza Bento,888,25.89,37.4,139,1896,No,No,Yes,No,No,No,No,No,Yes,Yes
BBQ Beef Ribs Bento,1032,38.89,47.4,114,1853,No,No,Yes,No,No,No,No,No,Yes,Yes
Chicken Yaki Udon,580,15,29,81,480,No,No,Yes,No,No,No,No,No,Yes,Yes
Beef Yakisoba,582,23,45.8,49,1669,No,No,Yes,No,No,No,No,No,Yes,Yes
Katsu Curry,897,14.8,120,67.4,487.8,No,No,Yes,No,No,No,No,No,Yes,Yes
Oyako Don,591,7.6,42.8,78.7,2154,No,No,Yes,No,No,No,No,No,Yes,Yes
Beefs Ribs Don,869,32.7,34.2,101,940,No,No,Yes,No,No,No,No,No,Yes,Yes
Katsu Don,679,16,41,93,1625,No,No,Yes,No,No,No,No,No,Yes,Yes
Ten don,1355,35,105,159,1483,No,No,Yes,No,No,No,No,No,Yes,Yes
Beef Teryika Don,664,14,42,45,898,No,No,Yes,No,No,No,No,No,Yes,Yes
Chicken Teryika Don,641,24,34,73,947,No,No,Yes,No,No,No,No,No,Yes,Yes
Tempura Udon,448,23,8,53,2200,No,No,Yes,No,No,No,No,No,Yes,Yes
BBQ Pork Ramen,552,20,18,75,520,No,No,Yes,No,No,No,No,No,Yes,Yes
Salmon Teryaki Don,600,17.4,30.6,45.4,200,No,No,Yes,No,No,No,Yes,No,Yes,Yes
