Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Turkey Provolone Sandwich,391,22,21,25,727,No,No,Yes,Yes,No,No,No,No,Yes,No
Ham and Swiss Sandwich,523,18,22,25,2072,No,No,Yes,Yes,No,No,No,No,Yes,No
Vegetarian Sandwich,420,25.5,15.5,35,651,No,No,Yes,Yes,No,No,No,No,Yes,No
Grilled Cheese,630,34,36,52,1570,No,Yes,Yes,Yes,No,No,No,No,Yes,No
NY Classic ,325,23.58,22.27,24.96,446,No,Yes,Yes,Yes,No,No,No,No,Yes,No
NY Classic with Bacon,417,27.18,25.37,25.06,642,No,No,Yes,Yes,No,No,No,No,Yes,No
NY Classic with Sausage,535,42.58,28.27,26.96,796,No,No,Yes,Yes,No,No,No,No,Yes,No
NY Classic with Ham,359,25.34,26.1,25.44,714,No,No,Yes,Yes,No,No,No,No,Yes,No
Pesto Chicken Panini,802,42.8,52.69,55.6,1209,No,No,Yes,Yes,No,No,No,No,Yes,No
Cuban Panini,875.5,35.45,69.8,67.88,1907,No,No,Yes,Yes,No,No,No,No,Yes,No
Mediterranean Panini,826.5,48.82,30.21,68.28,1579,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Vegan Chili Soup Small,100,2,5,6,37,Yes,Yes,No,No,No,No,No,No,No,No
Vegan Chili Soup Medium,150,3,7.5,9,55.5,Yes,Yes,No,No,No,No,No,No,No,No
Vegan Chili Soup Large,200,4,10,12,74,Yes,Yes,No,No,No,No,No,No,No,No
Caesar Salad,450,13,0,6,1126,No,Yes,Yes,No,No,No,No,No,No,No
Caesar Salad with Chicken,520,42,22,14,1200,No,No,Yes,No,No,No,No,No,No,No
Blueberry Bran Muffin,375,10.29,9.73,67.14,546,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Espresso Chocolate Muffin,413,19,4.9,60.55,545.3,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Cranberry Muffin,363,6,8,69,330,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Carrot Muffin,467,17.69,9.33,68.55,664,No,Yes,Yes,Yes,No,No,No,No,Yes,No
