Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Carved Turkey Sub,269,6,26,53,1060,No,No,No,No,No,No,No,No,Yes,No
Chicken & Bacon Ranch Melt,270,23,28,46,920,No,No,No,Yes,No,No,No,No,Yes,Yes
Chicken Pizziola Melt,283,14,27,50,1180,No,No,No,Yes,No,No,No,No,Yes,No
Cold Cut Combo ,233,20,17,47,890,No,No,No,Yes,No,No,No,No,Yes,No
Ham Sub,219,4,15,48,700,No,No,No,No,No,No,No,No,Yes,No
Italin BMT Sub,226,16,19,47,1210,No,No,No,No,No,No,No,No,Yes,No
Meatball Marinara Sub,301,18,21,60,1000,No,No,No,Yes,No,No,No,No,Yes,Yes
Oven Roasted Chicken Sub,226,4.5,21,47,560,No,No,No,No,No,No,No,No,Yes,Yes
Pizza Sub with Cheese,237,20,18,50,1410,No,No,No,Yes,No,No,No,No,Yes,Yes
Roast Beef Sub,219,4.5,17,46,690,No,No,No,No,No,No,No,No,Yes,Yes
Spicy Italin Sub,221,24,20,49,1490,No,No,No,No,No,No,No,No,Yes,No
Steak & Cheese Sub,244,10,26,47,1030,No,No,No,Yes,No,No,No,No,Yes,Yes
Subway Club,233,4.5,19,49,790,No,No,No,No,No,No,No,No,Yes,Yes
Subway Melt,249,10,23,58,1110,No,No,No,Yes,No,No,No,No,Yes,Yes
Sweet Onion Chicken Teryaki Sub,269,4,23,44,770,No,No,No,No,No,No,No,No,Yes,Yes
Tuna Sub,236,25,20,47,580,No,No,No,No,No,No,Yes,No,Yes,Yes
Turkey Breast Sub,219,4,17,31,690,No,No,No,No,No,No,No,No,Yes,No
Turkey Breast & Ham Sub,229,4,18,48,460,No,No,No,No,No,No,No,No,Yes,No
Veggie Delight Sub,162,2.5,8,44,760,No,Yes,No,No,No,No,No,No,Yes,No
Carved Turkey Salad,240,6,21,29,280,No,No,No,No,No,No,No,No,No,No
Chicken & Bacon Ranch Melt Salad,440,32,22,14,900,No,No,No,Yes,No,No,No,No,No,Yes
Cold Cut Combo Salad,260,19,11,13,670,No,No,No,Yes,No,No,No,No,No,No
Ham Salad,110,2.5,9,14,490,No,No,No,No,No,No,No,No,No,No
Italin BMT Salad,230,15,13,13,1000,No,No,No,No,No,No,No,No,No,No
Meatball Marinara Salad,310,17,15,26,780,No,No,No,Yes,No,No,No,No,Yes,Yes
Oven Roasted Chicken Salad,120,2.5,15,11,250,No,No,No,No,No,No,No,No,No,Yes
Roast Beef salad,110,3,11,13,470,No,No,No,No,No,No,No,No,No,Yes
Spicy Italian Salad,300,23,14,12,1270,No,No,No,No,No,No,No,No,No,No
Steak & Cheese Salad,200,8,20,15,810,No,No,No,Yes,No,No,No,No,No,Yes
Subway Club Salad,130,3,13,14,580,No,No,No,No,No,No,No,No,No,Yes
Subway Melt Salad,200,9,17,16,910,No,No,No,Yes,No,No,No,No,No,Yes
Sweet Onion Chicken Teryaki Salad,220,3,16,33,630,No,No,No,No,No,No,No,No,Yes,Yes
Tuna Salad,274,1,2,1,65,No,No,No,No,No,No,Yes,No,No,No
Turkey Breast Salad,330,2.5,11,13,480,No,No,No,No,No,No,No,No,No,No
Turkey Breast & Ham Salad,340,3,11,14,550,No,No,No,No,No,No,No,No,No,No
Veggie Delight Salad,50,1,2,10,65,Yes,Yes,No,No,No,No,No,No,No,No
Bacon Egg & Cheese,186,17,23,44,920,No,No,Yes,Yes,No,No,No,No,Yes,No
Egg & Cheese sandwich,177,14,20,4,770,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Ham Egg & Cheese Sandwich,206,15,24,45,980,No,No,Yes,Yes,No,No,No,No,Yes,No
Sausage & Cheese Sandwich,234,37,27,44,1290,No,No,Yes,Yes,No,No,No,No,Yes,No
Chocolate chip cookie,200,10,2,30,130,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Peanut Butter Cookie,220,12,4,26,130,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Raspberry Cheesecake cookie,200,9,2,2,130,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
sugar cookie,230,12,2,28,130,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
White Chip cookie,220,11,2,2,130,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Beef Chili,350,22,21,20,800,No,No,No,No,No,No,No,No,Yes,Yes
Black Bean Soup,255,1,12,39,860,No,Yes,No,No,No,No,No,No,No,Yes
Chicken and Wild Rice Soup,240,11,7,16,820,No,No,No,No,No,No,No,No,Yes,No
Cream of Broccoli Soup,255,8,4,16,790,No,Yes,No,Yes,No,No,No,No,Yes,No
Cream of Mushroom Soup,243,8,6,15,850,No,Yes,No,Yes,No,No,No,No,Yes,No
Creamy Chicken and Dumpling Soup,255,4.5,8,20,740,No,No,No,Yes,No,No,No,No,Yes,Yes
Chicken Noodle Soup,255,3,8,14,720,No,No,No,No,No,No,No,No,Yes,No
Loaded Baked Potato Soup,255,13,5,15,800,No,No,No,Yes,No,No,No,No,Yes,No
Tomato Basil Soup,260,12,8,30,1400,No,Yes,No,Yes,No,No,No,No,No,No
Yogurt Parfait,175,6,9,27,80,No,Yes,No,Yes,No,No,No,No,No,No
