Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Original Sunny Start with Bacon,611,32,24.1,54.4,1270,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Original Sunny Start with Sausage,713,39.3,32.5,55.1,1318,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Breakfast Club with Bacon,731,37,25.1,71.4,1570,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Breakfast Club with Sausage,843,45,34.3,72.2,1633,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Baja Breakfast Sandwich on White,598,31.3,26.3,55.6,884,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Baja Breakfast Sandwich on Multigrain,624,33.8,25.1,58.4,840,No,Yes,Yes,Yes,No,No,No,No,Yes,No
Bigger 2 Egg Breakfast,529,35.4,30.8,20,936.7,No,No,Yes,No,No,No,No,No,Yes,No
Multigrain Toast,179,6.8,4.4,26.4,231,Yes,Yes,No,No,No,No,No,No,Yes,No
White Toast,165,5.6,5,25,253,Yes,Yes,No,No,No,No,No,No,Yes,No
Hasbrown,120,5,1,17,200,Yes,Yes,No,No,No,No,No,No,No,No
Original Burger,789,49.2,29.7,54.6,807.9,No,No,No,No,No,No,No,No,Yes,Yes
Original Cheesburger,860,54.1,33.8,56.9,1169.3,No,No,No,Yes,No,No,No,No,Yes,Yes
Kid's Burger,778,49.1,29.1,52.2,803.1,No,No,No,No,No,No,No,No,Yes,Yes
Bacon Cheddar Burger,933,60.7,39.4,54.9,1138.1,No,No,No,Yes,No,No,No,No,Yes,Yes
Monty Mushroom Burger,943,62.4,37.2,57.3,811.9,No,No,No,Yes,No,No,No,No,Yes,Yes
Double Double Burger,1217,81.6,57.2,59.4,1648.8,No,No,No,Yes,No,No,No,No,Yes,Yes
Chiptole BBQ Bacon Melt,1043,61.9,39.5,60.4,1275.3,No,No,No,Yes,No,No,No,No,Yes,Yes
Crispy Fish Burger,684,31.6,24.7,71.1,1161.8,No,No,No,No,No,No,Yes,No,Yes,Yes
Baja Chicken Burger,746,38.9,31.8,66.6,1581.3,No,No,No,No,No,No,,No,Yes,Yes
Spicy Ultimate Crunch ,703,37.6,27.1,63,1256.6,No,No,No,No,No,No,No,No,Yes,Yes
Buffalo Chicken Club,714,34.1,36.3,63.7,2100.1,No,No,No,Yes,No,No,No,No,Yes,Yes
Grilled Chicken Feta Burger,548,17.6,36.8,57.2,871.7,No,No,No,Yes,No,No,No,No,Yes,Yes
The Super Stack Burger,1036,63.6,43.9,69,1380.5,No,No,No,No,No,No,No,No,Yes,Yes
Cheese,69,4.8,4,2.3,357,No,Yes,No,Yes,No,No,No,No,No,No
Bacon,60,4.8,4.4,0,199.3,No,No,No,No,No,No,No,No,No,No
Mushrooms,17,1,1.3,1.4,8.4,Yes,Yes,No,No,No,No,No,No,No,No
Extra Patty,430,33.9,29.1,0,98.3,No,No,No,No,No,No,No,No,No,No
5 Piece Dippin Chicken,270,10.9,21,17,550,No,No,No,No,No,No,No,No,Yes,Yes
3 Piece Dippin Chicken ,450,18.2,35,28.3,916.7,No,No,No,No,No,No,No,No,Yes,Yes
Caesar Salad,328,28,6.6,14.5,484.4,No,Yes,No,Yes,No,No,No,No,No,Yes
Kid's Grilled Cheese,436,16.8,18.1,54.7,1195.9,No,Yes,No,Yes,No,No,No,No,Yes,No
3 Piece Fish and Chips,629,30,24.5,58.5,883.8,No,No,No,No,No,No,Yes,No,Yes,Yes
Kid's Fries,134,6.2,2.1,18,71.3,Yes,Yes,No,No,No,No,No,No,No,No
Regular Fries,239,12,3.5,30,118.8,Yes,Yes,No,No,No,No,No,No,No,No
Large Fries,334,16.8,5,42,165.2,Yes,Yes,No,No,No,No,No,No,No,No
Side of Gravy,38,0.9,1.9,5.7,608,No,No,No,No,No,No,No,No,Yes,No
Poutine,490,29.9,18.7,35.9,986.5,No,No,No,No,No,No,No,No,Yes,No
Onion Rings,467,28.8,5.5,47.7,436.5,No,Yes,No,No,No,No,No,No,Yes,No
Garlic Parmesan Fries,267,14.1,5.7,31,133,No,Yes,No,Yes,No,No,No,No,No,No
Regular Sweet Potato Fries,519,29.6,5.4,60.5,522.7,Yes,Yes,No,No,No,No,No,No,No,No
Large sweet Potato fries,674,38.4,7,78.6,678,Yes,Yes,No,No,No,No,No,No,No,No
Side Chipotle Mayo,260,28,1,3,105,No,Yes,No,No,No,No,No,No,No,No
Chocolate Sundae,366,18.9,4.2,46.7,138.2,No,Yes,No,Yes,No,No,No,No,No,No
Strawberry Sundae,312,18.7,3.8,33.6,73.2,No,Yes,No,Yes,No,No,No,No,No,No
Blueberry Sundae,246,18.7,3.8,37.7,110.8,No,Yes,No,Yes,No,No,No,No,No,No
